name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
amsterdam,1/1/22,56.1,48.4,53.1,56.1,44.3,52.6,50,89.4,0.013,100,4.17,rain,0,0,22,15,199.9,1020.5,99.5,13.6,29.8,2.6,1,,2022-01-01T08:50:30,2022-01-01T16:37:36,0.95,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"06260099999,06348099999,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/2/22,54.6,50,52.7,54.6,42.9,52.4,48.8,86.4,0.27,100,58.33,rain,0,0,38,28.8,224.3,1010.8,95.4,14.1,20.9,2,1,,2022-01-02T08:50:21,2022-01-02T16:38:42,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/3/22,51.4,46.8,49,51.4,40.8,43.6,44.8,85.4,0.025,100,4.17,rain,0,0,36.7,23.4,232.9,1007.4,49.7,9.4,34.7,3.1,2,,2022-01-03T08:50:08,2022-01-03T16:39:51,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"06260099999,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/4/22,47.5,39.2,44.3,42.9,32.3,39.1,40.3,85.8,0.034,100,25,rain,0,0,22.8,12.7,268.2,997.8,94,17.6,28.5,2.7,1,,2022-01-04T08:49:52,2022-01-04T16:41:03,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06260099999,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/5/22,45.7,38.4,42.1,38,30.1,33.8,36.2,79.7,0.146,100,54.17,rain,0,0,37,25.7,287.2,1004.9,78.8,11.2,21.5,2,1,,2022-01-05T08:49:33,2022-01-05T16:42:17,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/6/22,42.8,33,38.7,37,28.8,33.1,33.6,82.2,0.005,100,12.5,rain,0,0,26.3,17.5,217.1,1016.7,56.9,15.6,35.2,3,2,,2022-01-06T08:49:10,2022-01-06T16:43:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/7/22,43.1,36.7,39.9,36.2,28.1,32.3,35.2,83.6,0.092,100,62.5,rain,0,0,29.8,19.2,216.7,1008.9,88.9,17.4,17.8,1.6,0,,2022-01-07T08:48:43,2022-01-07T16:44:53,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/8/22,43.9,34.6,38.6,39,28.1,31.1,35.6,88.9,0.446,100,54.17,"rain,snow",0,0,31.7,23.3,187.6,1002.4,84.9,15,20.2,2,1,,2022-01-08T08:48:14,2022-01-08T16:46:15,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/9/22,44.8,34.2,41.6,39.9,30.1,34.9,37.2,84.5,0.257,100,50,rain,0,0,29.8,20.5,277.6,998.3,71.5,11.2,21.5,1.9,1,,2022-01-09T08:47:41,2022-01-09T16:47:39,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/10/22,43.7,32.1,36.6,40.9,26.2,32.6,35,93.8,0,0,0,,0,0,10.5,8.4,162.4,1019.9,74.4,5.4,39,3.4,2,,2022-01-10T08:47:05,2022-01-10T16:49:05,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/11/22,41.1,32.6,36.5,35.7,24.3,29.8,33.7,90,0.028,100,20.83,rain,0,0,16.8,12.3,178.7,1031.7,86,5.7,47.6,4.1,3,,2022-01-11T08:46:25,2022-01-11T16:50:33,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06260099999,D3248,E5029,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/12/22,41.6,35.4,39.4,40,33.6,36.5,38.9,98.2,0.005,100,12.5,rain,0,0,12.4,7,210.3,1038.6,98,0.7,31.6,2.7,2,,2022-01-12T08:45:43,2022-01-12T16:52:03,0.32,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
amsterdam,1/13/22,44.5,39.2,41.9,39.3,34.1,36.5,41.6,98.8,0.002,100,8.33,rain,0,0,17.7,12.8,230.3,1039.7,95.4,1,25.5,2.3,2,,2022-01-13T08:44:57,2022-01-13T16:53:35,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"06260099999,D3248,06249099999,06240099999,C0449,D0247,06269099999,06257099999"
