STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
48,195,950100,1400000US48195950100,48195950100,9501,Census Tract 9501,TX,Hansford County,Texas,CT,1547455185,852095
48,375,010700,1400000US48375010700,48375010700,107,Census Tract 107,TX,Potter County,Texas,CT,2001766,0
48,375,014100,1400000US48375014100,48375014100,141,Census Tract 141,TX,Potter County,Texas,CT,12659942,3240
48,073,950801,1400000US48073950801,48073950801,9508.01,Census Tract 9508.01,TX,Cherokee County,Texas,CT,519280593,393509
48,085,031643,1400000US48085031643,48085031643,316.43,Census Tract 316.43,TX,Collin County,Texas,CT,2155712,0
48,085,032008,1400000US48085032008,48085032008,320.08,Census Tract 320.08,TX,Collin County,Texas,CT,4209951,841
48,085,032012,1400000US48085032012,48085032012,320.12,Census Tract 320.12,TX,Collin County,Texas,CT,1626809,0
48,085,031715,1400000US48085031715,48085031715,317.15,Census Tract 317.15,TX,Collin County,Texas,CT,1816782,0
48,097,000600,1400000US48097000600,48097000600,6,Census Tract 6,TX,Cooke County,Texas,CT,13928475,0
48,097,000200,1400000US48097000200,48097000200,2,Census Tract 2,TX,Cooke County,Texas,CT,628073094,5797336
48,105,950100,1400000US48105950100,48105950100,9501,Census Tract 9501,TX,Crockett County,Texas,CT,7270935061,53329
48,119,950100,1400000US48119950100,48119950100,9501,Census Tract 9501,TX,Delta County,Texas,CT,638769292,42148509
48,121,021301,1400000US48121021301,48121021301,213.01,Census Tract 213.01,TX,Denton County,Texas,CT,1380309,0
48,121,021635,1400000US48121021635,48121021635,216.35,Census Tract 216.35,TX,Denton County,Texas,CT,985427,0
48,145,000800,1400000US48145000800,48145000800,8,Census Tract 8,TX,Falls County,Texas,CT,948360502,11316155
48,149,970400,1400000US48149970400,48149970400,9704,Census Tract 9704,TX,Fayette County,Texas,CT,409342850,3581959
48,005,000500,1400000US48005000500,48005000500,5,Census Tract 5,TX,Angelina County,Texas,CT,14970464,307614
48,005,000102,1400000US48005000102,48005000102,1.02,Census Tract 1.02,TX,Angelina County,Texas,CT,156393312,2427164
48,007,950200,1400000US48007950200,48007950200,9502,Census Tract 9502,TX,Aransas County,Texas,CT,2686719,17605331
48,009,020300,1400000US48009020300,48009020300,203,Census Tract 203,TX,Archer County,Texas,CT,842214314,12206880
48,025,950300,1400000US48025950300,48025950300,9503,Census Tract 9503,TX,Bee County,Texas,CT,10582278,0
48,241,950400,1400000US48241950400,48241950400,9504,Census Tract 9504,TX,Jasper County,Texas,CT,349494183,18452445
48,245,000900,1400000US48245000900,48245000900,9,Census Tract 9,TX,Jefferson County,Texas,CT,1982679,0
48,245,002300,1400000US48245002300,48245002300,23,Census Tract 23,TX,Jefferson County,Texas,CT,3626844,0
48,245,005600,1400000US48245005600,48245005600,56,Census Tract 56,TX,Jefferson County,Texas,CT,1542445,117327
48,245,010200,1400000US48245010200,48245010200,102,Census Tract 102,TX,Jefferson County,Texas,CT,1269432,0
48,245,000600,1400000US48245000600,48245000600,6,Census Tract 6,TX,Jefferson County,Texas,CT,3534377,0
48,251,130700,1400000US48251130700,48251130700,1307,Census Tract 1307,TX,Johnson County,Texas,CT,2755204,1043
48,037,011700,1400000US48037011700,48037011700,117,Census Tract 117,TX,Bowie County,Texas,CT,428471995,3190967
48,055,960102,1400000US48055960102,48055960102,9601.02,Census Tract 9601.02,TX,Caldwell County,Texas,CT,323099528,687380
48,157,675000,1400000US48157675000,48157675000,6750,Census Tract 6750,TX,Fort Bend County,Texas,CT,3991206,215418
48,039,663200,1400000US48039663200,48039663200,6632,Census Tract 6632,TX,Brazoria County,Texas,CT,4186084,194714
48,139,060500,1400000US48139060500,48139060500,605,Census Tract 605,TX,Ellis County,Texas,CT,5784517,0
48,147,950100,1400000US48147950100,48147950100,9501,Census Tract 9501,TX,Fannin County,Texas,CT,373093286,2075212
48,167,720800,1400000US48167720800,48167720800,7208,Census Tract 7208,TX,Galveston County,Texas,CT,5165206,7596
48,167,724400,1400000US48167724400,48167724400,7244,Census Tract 7244,TX,Galveston County,Texas,CT,1185357,0
48,167,724600,1400000US48167724600,48167724600,7246,Census Tract 7246,TX,Galveston County,Texas,CT,699522,0
48,175,960200,1400000US48175960200,48175960200,9602,Census Tract 9602,TX,Goliad County,Texas,CT,1563355891,7964691
48,179,950800,1400000US48179950800,48179950800,9508,Census Tract 9508,TX,Gray County,Texas,CT,3382707,0
48,201,530200,1400000US48201530200,48201530200,5302,Census Tract 5302,TX,Harris County,Texas,CT,3533268,18067
48,201,534002,1400000US48201534002,48201534002,5340.02,Census Tract 5340.02,TX,Harris County,Texas,CT,3242144,5588
48,201,521100,1400000US48201521100,48201521100,5211,Census Tract 5211,TX,Harris County,Texas,CT,597859,0
48,201,553700,1400000US48201553700,48201553700,5537,Census Tract 5537,TX,Harris County,Texas,CT,3142144,19842
48,201,540800,1400000US48201540800,48201540800,5408,Census Tract 5408,TX,Harris County,Texas,CT,9594713,30791
48,201,511100,1400000US48201511100,48201511100,5111,Census Tract 5111,TX,Harris County,Texas,CT,1877356,13322
48,201,221200,1400000US48201221200,48201221200,2212,Census Tract 2212,TX,Harris County,Texas,CT,2500612,0
48,201,412000,1400000US48201412000,48201412000,4120,Census Tract 4120,TX,Harris County,Texas,CT,1495551,0
48,201,340600,1400000US48201340600,48201340600,3406,Census Tract 3406,TX,Harris County,Texas,CT,1625393,0
48,201,333600,1400000US48201333600,48201333600,3336,Census Tract 3336,TX,Harris County,Texas,CT,3693864,51484
48,201,323300,1400000US48201323300,48201323300,3233,Census Tract 3233,TX,Harris County,Texas,CT,1310396,0
48,201,332300,1400000US48201332300,48201332300,3323,Census Tract 3323,TX,Harris County,Texas,CT,1203528,0
48,201,321500,1400000US48201321500,48201321500,3215,Census Tract 3215,TX,Harris County,Texas,CT,943249,0
48,201,311900,1400000US48201311900,48201311900,3119,Census Tract 3119,TX,Harris County,Texas,CT,2074455,43861
48,201,211200,1400000US48201211200,48201211200,2112,Census Tract 2112,TX,Harris County,Texas,CT,1702869,0
48,201,412500,1400000US48201412500,48201412500,4125,Census Tract 4125,TX,Harris County,Texas,CT,645526,266
48,201,231500,1400000US48201231500,48201231500,2315,Census Tract 2315,TX,Harris County,Texas,CT,1159596,0
48,201,210500,1400000US48201210500,48201210500,2105,Census Tract 2105,TX,Harris County,Texas,CT,2154322,0
48,201,230800,1400000US48201230800,48201230800,2308,Census Tract 2308,TX,Harris County,Texas,CT,1851884,0
48,201,452802,1400000US48201452802,48201452802,4528.02,Census Tract 4528.02,TX,Harris County,Texas,CT,1298551,126
48,201,451700,1400000US48201451700,48201451700,4517,Census Tract 4517,TX,Harris County,Texas,CT,1747419,9610
48,201,422302,1400000US48201422302,48201422302,4223.02,Census Tract 4223.02,TX,Harris County,Texas,CT,694397,0
48,201,220600,1400000US48201220600,48201220600,2206,Census Tract 2206,TX,Harris County,Texas,CT,1660905,0
48,201,421403,1400000US48201421403,48201421403,4214.03,Census Tract 4214.03,TX,Harris County,Texas,CT,654077,0
48,201,433202,1400000US48201433202,48201433202,4332.02,Census Tract 4332.02,TX,Harris County,Texas,CT,1150085,0
48,277,000200,1400000US48277000200,48277000200,2,Census Tract 2,TX,Lamar County,Texas,CT,633352737,8826329
48,309,004300,1400000US48309004300,48309004300,43,Census Tract 43,TX,McLennan County,Texas,CT,8823633,26490
48,309,003300,1400000US48309003300,48309003300,33,Census Tract 33,TX,McLennan County,Texas,CT,7942304,0
48,333,950200,1400000US48333950200,48333950200,9502,Census Tract 9502,TX,Mills County,Texas,CT,601748025,1144302
48,361,021200,1400000US48361021200,48361021200,212,Census Tract 212,TX,Orange County,Texas,CT,93443165,3227364
48,381,020400,1400000US48381020400,48381020400,204,Census Tract 204,TX,Randall County,Texas,CT,1498424,0
48,381,021605,1400000US48381021605,48381021605,216.05,Census Tract 216.05,TX,Randall County,Texas,CT,2612629,101650
48,387,950100,1400000US48387950100,48387950100,9501,Census Tract 9501,TX,Red River County,Texas,CT,808649385,7822597
48,399,950600,1400000US48399950600,48399950600,9506,Census Tract 9506,TX,Runnels County,Texas,CT,885079167,9509472
48,445,950400,1400000US48445950400,48445950400,9504,Census Tract 9504,TX,Terry County,Texas,CT,42786774,112377
48,451,000300,1400000US48451000300,48451000300,3,Census Tract 3,TX,Tom Green County,Texas,CT,34172448,0
48,453,002201,1400000US48453002201,48453002201,22.01,Census Tract 22.01,TX,Travis County,Texas,CT,5089677,1348
48,453,000304,1400000US48453000304,48453000304,3.04,Census Tract 3.04,TX,Travis County,Texas,CT,1192522,0
48,453,001307,1400000US48453001307,48453001307,13.07,Census Tract 13.07,TX,Travis County,Texas,CT,1769497,0
48,453,002002,1400000US48453002002,48453002002,20.02,Census Tract 20.02,TX,Travis County,Texas,CT,1589727,0
48,453,002413,1400000US48453002413,48453002413,24.13,Census Tract 24.13,TX,Travis County,Texas,CT,1341870,0
48,457,950400,1400000US48457950400,48457950400,9504,Census Tract 9504,TX,Tyler County,Texas,CT,668535186,12276500
48,465,950400,1400000US48465950400,48465950400,9504,Census Tract 9504,TX,Val Verde County,Texas,CT,8450174,21986
48,469,001300,1400000US48469001300,48469001300,13,Census Tract 13,TX,Victoria County,Texas,CT,521116549,7569498
48,469,000501,1400000US48469000501,48469000501,5.01,Census Tract 5.01,TX,Victoria County,Texas,CT,3134075,0
48,469,001604,1400000US48469001604,48469001604,16.04,Census Tract 16.04,TX,Victoria County,Texas,CT,3721156,0
48,479,001719,1400000US48479001719,48479001719,17.19,Census Tract 17.19,TX,Webb County,Texas,CT,1167415,0
48,479,000903,1400000US48479000903,48479000903,9.03,Census Tract 9.03,TX,Webb County,Texas,CT,558773,0
48,483,950300,1400000US48483950300,48483950300,9503,Census Tract 9503,TX,Wheeler County,Texas,CT,797473293,841283
48,303,010506,1400000US48303010506,48303010506,105.06,Census Tract 105.06,TX,Lubbock County,Texas,CT,3856658,0
48,303,000301,1400000US48303000301,48303000301,3.01,Census Tract 3.01,TX,Lubbock County,Texas,CT,961915,25395
48,303,002102,1400000US48303002102,48303002102,21.02,Census Tract 21.02,TX,Lubbock County,Texas,CT,1684008,34755
48,303,010402,1400000US48303010402,48303010402,104.02,Census Tract 104.02,TX,Lubbock County,Texas,CT,15344152,181293
48,413,950300,1400000US48413950300,48413950300,9503,Census Tract 9503,TX,Schleicher County,Texas,CT,3394546068,87401
48,409,010500,1400000US48409010500,48409010500,105,Census Tract 105,TX,San Patricio County,Texas,CT,15309497,0
48,141,003901,1400000US48141003901,48141003901,39.01,Census Tract 39.01,TX,El Paso County,Texas,CT,2087387,0
48,141,000301,1400000US48141000301,48141000301,3.01,Census Tract 3.01,TX,El Paso County,Texas,CT,2654932,0
48,141,001002,1400000US48141001002,48141001002,10.02,Census Tract 10.02,TX,El Paso County,Texas,CT,1263562,0
48,141,003502,1400000US48141003502,48141003502,35.02,Census Tract 35.02,TX,El Paso County,Texas,CT,2521779,0
48,141,002300,1400000US48141002300,48141002300,23,Census Tract 23,TX,El Paso County,Texas,CT,2023107,3413
48,141,010311,1400000US48141010311,48141010311,103.11,Census Tract 103.11,TX,El Paso County,Texas,CT,2206418,0
48,141,000404,1400000US48141000404,48141000404,4.04,Census Tract 4.04,TX,El Paso County,Texas,CT,1210281,0
48,049,950100,1400000US48049950100,48049950100,9501,Census Tract 9501,TX,Brown County,Texas,CT,614829664,6020484
48,135,002502,1400000US48135002502,48135002502,25.02,Census Tract 25.02,TX,Ector County,Texas,CT,5222519,0
48,135,001500,1400000US48135001500,48135001500,15,Census Tract 15,TX,Ector County,Texas,CT,3151216,0
48,187,210706,1400000US48187210706,48187210706,2107.06,Census Tract 2107.06,TX,Guadalupe County,Texas,CT,3613577,8867
48,057,000100,1400000US48057000100,48057000100,1,Census Tract 1,TX,Calhoun County,Texas,CT,10030284,8671029
48,027,021901,1400000US48027021901,48027021901,219.01,Census Tract 219.01,TX,Bell County,Texas,CT,3726974,0
48,027,022801,1400000US48027022801,48027022801,228.01,Census Tract 228.01,TX,Bell County,Texas,CT,1099748,0
48,027,020701,1400000US48027020701,48027020701,207.01,Census Tract 207.01,TX,Bell County,Texas,CT,1640252,0
48,355,001801,1400000US48355001801,48355001801,18.01,Census Tract 18.01,TX,Nueces County,Texas,CT,3272604,0
48,355,000900,1400000US48355000900,48355000900,9,Census Tract 9,TX,Nueces County,Texas,CT,1694728,0
48,355,001601,1400000US48355001601,48355001601,16.01,Census Tract 16.01,TX,Nueces County,Texas,CT,1606316,0
48,355,003401,1400000US48355003401,48355003401,34.01,Census Tract 34.01,TX,Nueces County,Texas,CT,1880294,0
