"date","numbers"
"2019-01-01",136
"2019-01-02",1
"2019-01-03",4
"2019-01-04",1
"2019-01-05",11
"2019-01-06",31
"2019-01-07",12
"2019-01-08",14
"2019-01-09",2
"2019-01-10",3
"2019-01-11",1
"2019-01-12",15
"2019-01-13",21
"2019-01-14",2
"2019-01-15",4
"2019-01-16",2
"2019-01-17",10
"2019-01-18",13
"2019-01-19",29
"2019-01-20",12
"2019-01-21",7
"2019-01-22",6
"2019-01-23",12
"2019-01-24",9
"2019-01-25",1
"2019-01-26",247
"2019-01-27",57
"2019-01-28",8
"2019-01-29",6
"2019-01-30",6
"2019-01-31",5
"2019-02-01",2
"2019-02-02",118
"2019-02-03",42
"2019-02-04",3
"2019-02-05",20
"2019-02-06",1
"2019-02-07",4
"2019-02-08",13
"2019-02-09",288
"2019-02-10",1
"2019-02-11",1
"2019-02-12",4
"2019-02-13",1
"2019-02-14",1
"2019-02-15",1
"2019-02-16",1
"2019-02-17",6
"2019-02-18",1
"2019-02-19",1
"2019-02-20",1
"2019-02-21",2
"2019-02-22",12
"2019-02-23",39
"2019-02-24",11
"2019-02-25",5
"2019-02-26",1
"2019-02-27",6
"2019-02-28",68
"2019-03-01",190
"2019-03-02",146
"2019-03-03",107
"2019-03-04",42
"2019-03-05",40
"2019-03-06",107
"2019-03-07",12
"2019-03-08",189
"2019-03-09",36
"2019-03-10",17
"2019-03-11",36
"2019-03-12",42
"2019-03-13",12
"2019-03-14",1
"2019-03-15",16
"2019-03-16",133
"2019-03-17",10
"2019-03-18",16
"2019-03-19",4
"2019-03-20",3
"2019-03-21",2
"2019-03-22",1
"2019-03-23",6
"2019-03-24",5
"2019-03-25",3
"2019-03-26",1
"2019-03-27",1
"2019-03-28",1
"2019-03-29",1
"2019-03-30",1
"2019-03-31",16
"2019-04-01",3
"2019-04-02",2
"2019-04-03",1
"2019-04-04",1
"2019-04-05",24
"2019-04-06",4
"2019-04-07",5
"2019-04-08",1
"2019-04-09",1
"2019-04-10",1
"2019-04-11",2
"2019-04-12",1
"2019-04-13",10
"2019-04-14",15
"2019-04-15",3
"2019-04-16",1
"2019-04-17",3
"2019-04-18",1
"2019-04-19",1
"2019-04-20",17
"2019-04-21",3
"2019-04-22",3
"2019-04-23",1
"2019-04-24",1
"2019-04-25",1
"2019-04-26",4
"2019-04-27",24
"2019-04-28",2
"2019-04-29",1
"2019-04-30",1
"2019-05-01",5
"2019-05-02",3
"2019-05-03",2
"2019-05-04",4
"2019-05-05",2
"2019-05-06",1
"2019-05-07",1
"2019-05-08",1
"2019-05-09",2
"2019-05-10",1
"2019-05-11",1
"2019-05-12",4
"2019-05-13",1
"2019-05-14",1
"2019-05-15",2
"2019-05-16",3
"2019-05-17",1
"2019-05-18",1
"2019-05-19",7
"2019-05-20",1
"2019-05-21",2
"2019-05-22",2
"2019-05-23",1
"2019-05-24",1
"2019-05-25",3
"2019-05-26",133
"2019-05-27",9
"2019-05-28",1
"2019-05-29",1
"2019-05-30",1
"2019-05-31",8
"2019-06-01",7
"2019-06-02",13
"2019-06-03",1
"2019-06-04",4
"2019-06-05",4
