date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,11.5,8.5,13.2,,,198,19.1,36,1020.5,
2022-01-02,11.6,10,12.7,,,219,31.7,72,1010.7,
2022-01-03,9.5,8,11.1,,,231,32,61,1007.3,
2022-01-04,6.8,3.7,8.7,,,271,16.7,50,997.8,
2022-01-05,5.5,3.2,7.7,,,291,31.1,72,1004.9,
2022-01-06,3.3,-0.2,6,,,226,15.3,43,1016.7,
2022-01-07,4.2,2.2,6,,,222,22.5,47,1008.8,
2022-01-08,3.6,0.7,6.5,,,200,22.2,54,1002.3,
2022-01-09,5.2,0.7,7.2,,,269,22.4,54,998.4,
2022-01-10,2.3,-0.5,6.2,,,158,8.4,18.5,1019.9,
2022-01-11,2.4,0.1,5,,,178,15.5,29,1031.6,
2022-01-12,3.9,2,4.7,,,206,7.2,18.5,1038.6,
2022-01-13,5.5,3.6,7.2,,,228,14.9,29,1039.7,
2022-01-14,5.4,2.5,7.1,,,234,8.6,25,1035.5,
2022-01-15,3,1.2,5.2,,,145,12.9,25,1028.1,
2022-01-16,6.1,2.2,8.1,,,249,18.5,37,1024,
2022-01-17,6.8,2.5,9.7,,,299,19.5,40,1033.7,
2022-01-18,3,0,5.2,,,225,7.7,22,1037.7,
2022-01-19,4.8,0.7,7.5,,,243,16.5,40,1024.7,
2022-01-20,4.2,1.7,5.6,,,328,23.3,61,1028.6,
2022-01-21,4.4,0.7,7.1,,,304,14.7,40,1034,
2022-01-22,6.6,6.2,7.6,,,294,13.4,29.6,1034.2,
2022-01-23,6.3,5.2,7.6,,,181,6.6,16.7,1035.4,
2022-01-24,4.7,3.5,5.5,,,124,6.6,18,1034.6,
2022-01-25,3.2,2.6,3.7,,,127,5.7,14,1034.3,
2022-01-26,4.6,2.5,6.7,,,229,16.7,40,1030.7,
2022-01-27,7.4,6,9.5,,,267,29.3,54,1023.8,
2022-01-28,6.6,3,9,,,266,18.9,43,1031.9,
2022-01-29,9.3,7.5,11.2,,,254,35.7,72,1023.1,
2022-01-30,6.4,4.5,7.7,,,287,22.8,54,1027.2,
2022-01-31,5.9,4.3,7,7.1,,300,44.7,94.5,1012.4,
2022-02-01,7.4,3.7,9.5,,,272,30.6,65,1015.3,
2022-02-02,8.5,7.1,10,,,274,22.1,50,1018.7,
2022-02-03,7.6,5.7,9,,,220,21.3,40,1014.5,
2022-02-04,6.8,4,9,7.4,,241,29.4,65,1008.2,
2022-02-05,6.5,4.5,8.1,,,249,35.7,79,1015.7,
2022-02-06,7.6,4.7,9.2,12.2,,257,43.8,90,1002.1,
2022-02-07,6.2,4,7.7,,,276,29.7,83,1020.4,
2022-02-08,10,8.2,11.2,,,237,31.8,58,1024.8,
2022-02-09,9.1,8.2,10.4,,,228,23.3,50,1023.5,
2022-02-10,6.8,5.2,8.5,,,267,15.2,33.3,1020,
2022-02-11,4.7,-0.2,7.7,,,304,21.6,68,1028.4,
2022-02-12,2.6,-1.7,7.2,,,177,20.3,43,1026.1,
2022-02-13,5.1,-0.2,9.7,,,174,25.5,54,1008.6,
2022-02-14,9.2,6.2,11.5,,,211,32,65,998.3,
2022-02-15,7.3,5.2,8.6,10.7,,229,26.9,65,1006.3,
2022-02-16,10.5,8,12.2,,,226,39.3,94,994.2,
2022-02-17,8.8,7.2,10.7,,,259,44.1,90,1002.1,
2022-02-18,8.3,6.7,10.7,1.2,,220,46.7,119,996.7,
2022-02-19,6.2,4,8,,,245,42.9,94,1006.9,
2022-02-20,8,4.2,11.1,18.3,,236,44.1,104,1001.6,
2022-02-21,6.5,4.7,7.7,,,282,47.9,86,1000,
2022-02-22,7,3.2,10.7,,,255,26,76,1015.6,
2022-02-23,7.6,3.5,10.7,,,229,24.6,47,1021.6,
2022-02-24,6.4,2.7,9,6,,229,29,79,1009.6,
2022-02-25,5.5,2.2,7.5,,,281,26.7,54,1021,
2022-02-26,3.5,-1.2,9,,,157,10.4,29,1033.6,
2022-02-27,4.8,1,9.2,,,122,20.7,47,1030.9,
2022-02-28,4.6,0.2,10,,,146,18.5,36,1029.1,
2022-03-01,4.6,2.2,6.2,,,115,7.8,20.4,1027.7,
2022-03-02,6.6,3.2,10.6,,,65,12.3,27.8,1024.2,
2022-03-03,5.5,-0.4,12,,,94,14.6,36,1019.2,
2022-03-04,5.2,1,11.1,,,107,15.6,29,1020.6,
2022-03-05,2.4,-2.7,6.5,,,65,11.7,29.6,1021.8,
2022-03-06,3.5,1.5,6.5,,,36,18.3,43,1027.3,
2022-03-07,3.4,-0.9,7.2,,,68,11.9,32,1027,
2022-03-08,4.9,0.2,10.2,,,122,21,50,1021.2,
2022-03-09,6.8,1,13.5,,,137,16.7,29.6,1021.5,
2022-03-10,8.8,2.7,15,,,125,15,35.2,1021.8,
2022-03-11,10,5.7,14.5,,,124,24.5,54,1013.5,
2022-03-12,10.8,7.7,13.7,,,154,19.8,43,1014.4,
2022-03-13,12.2,9,16.1,,,152,20.1,40,1012.9,
2022-03-14,9.7,5,12.5,,,214,16.1,40,1023,
2022-03-15,8.9,4.7,14.2,,,137,7.8,22,1024.8,
2022-03-16,9.4,4.7,13.1,,,124,20,43,1021.8,
2022-03-17,8.2,3.5,11,,,257,20.7,47,1028.3,
2022-03-18,8.3,1.6,14.7,,,77,11.4,32,1042.7,
2022-03-19,9.1,5.5,13.2,,,69,22.7,47,1041.7,
2022-03-20,5.1,1.7,8.5,,,110,20.7,47,1029.7,
2022-03-21,7.7,0.5,15.5,,,131,9.5,22.2,1030.4,
2022-03-22,11.5,4.6,19.5,,,87,7.5,22.2,1030.9,
2022-03-23,11.5,4.6,19,,,51,8.1,25,1030.6,
2022-03-24,10.7,3.2,17.7,,,1,6,22.2,1029.9,
2022-03-25,9.3,3,15.1,,,28,11.3,29.6,1031.3,
2022-03-26,10.5,3,17,,,22,10.7,29.6,1032.8,
2022-03-27,,,,,,,,,,
2022-03-28,8.6,5.1,14.2,,,36,9.8,22,1023.7,
2022-03-29,8.5,6.1,12.7,,,54,14.9,31.5,1013.7,
2022-03-30,6.6,2.7,9.1,,,46,14,40,1006.2,
2022-03-31,2.4,1,4.2,17.3,,21,19.8,58,1002.3,
2022-04-01,2.8,0.2,5.2,,,35,31.5,68,1010.8,
2022-04-02,4,0.6,7.5,,,18,18.5,43,1019.7,
2022-04-03,3.4,-1.7,8,,,296,10.5,36,1022.9,
2022-04-04,7,2.7,10,10.7,,238,32.9,72,1008.8,
2022-04-05,9.8,7.6,11.5,,,261,24.8,50,1004.8,
2022-04-06,10.3,9.1,11.5,,,229,37.2,76,998.1,
2022-04-07,8.7,6.5,11,,,243,46.4,94,985.2,
2022-04-08,6.6,4.6,9.1,,,290,22.8,58,997.8,
2022-04-09,5.8,3.5,8.5,,,297,25.4,61,1010.4,
2022-04-10,6.5,2.2,11,,,287,12.2,32,1019.7,
2022-04-11,9.3,2.7,14.7,,,107,13.5,37,1016.4,
2022-04-12,13.6,7.7,20.2,,,129,17.4,36,1009.6,
2022-04-13,13.5,11.5,16.6,,,250,12,29,1015.5,
2022-04-14,12.5,8.1,17.2,,,279,10.8,32,1021.4,
2022-04-15,9.7,7.7,12.2,,,44,11.9,29,1028.1,
2022-04-16,11.1,6,16.1,,,91,15,36,1032,
2022-04-17,11.9,5.6,17.8,,,121,16.1,29.6,1026.7,
2022-04-18,13.1,6.7,19,,,140,13.4,29,1018.2,
2022-04-19,12.7,7,17.6,,,49,12.3,36,1015.4,
2022-04-20,12.1,6.3,16.2,,,57,19.2,40,1016.8,
2022-04-21,12.3,6.6,16.9,0,,55,19.1,50,1013.8,
2022-04-22,13.5,10,17.3,0,,62,24,50,1008.4,
